trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,9,-28.36682954867368,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-73.56270065171061,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-179.7524129994765,"{0: 18, 1: 7, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,6,-89.48535329645932,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-92.52731145531331,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,2,-132.03936025425438,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-93.129791133198,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-156.23705733233413,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-75.77057235633765,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-175.9042057721281,"{0: 20, 1: 3, 2: 1, 3: 3, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-105.63241189594743,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-63.410423206531966,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,6,-18.416690679390772,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-37.370057247321384,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-40.569765003402,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,17,15.489031329241032,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-173.41894741762215,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-25.72248727936246,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-45.76065526428253,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,2.955506725987645,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,16,7.519326970473534,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,21.00674851690632,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-103.93602454053695,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,7,31.762395946515497,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,16.60043144497719,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,8,12.995012186850495,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,0,4.560350983130032,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-64.97991269585032,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-35.777044045795776,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,12,-46.66110865612306,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
